"id","epithet","author"
856,"Fraxinaceae",""
857,"Fritillariaceae",""
858,"Fumariaceae",""
859,"Gaiadendraceae",""
860,"Galacaceae",""
861,"Galanthaceae",""
862,"Galeariaceae",""
863,"Galiaceae",""
864,"Garciniaceae",""
865,"Gardeniaceae",""
866,"Geitonoplesiaceae",""
867,"Gelsemiaceae","Struwe & V.A.Albert"
868,"Geniostomataceae",""
869,"Geonomataceae",""
870,"Geosiridaceae",""
871,"Gerrardinaceae",""
872,"Gethyllidaceae",""
873,"Gilliesiaceae",""
874,"Ginalloaceae",""
875,"Gladiolaceae",""
876,"Glinaceae",""
877,"Glyceriaceae",""
878,"Gonystylaceae",""
879,"Gramineae",""
880,"Gratiolaceae",""
881,"Gronoviaceae",""
882,"Guamatelaceae","S.H.Oh & D.Potter"
883,"Guttiferae",""
884,"Gymnogrammitidaceae",""
885,"Gyrocarpaceae",""
886,"Hachetteaceae",""
887,"Haemanthaceae",""
888,"Halesiaceae",""
889,"Halophilaceae",""
890,"Haptanthaceae",""
891,"Harmandiaceae",""
892,"Hebenstretiaceae",""
893,"Montiaceae","Raf."
894,"Hedysaraceae",""
895,"Heisteriaceae",""
896,"Helichrysaceae",""
897,"Helicteraceae",""
898,"Heliotropiaceae",""
899,"Helleboraceae",""
900,"Heloniadaceae",""
901,"Helosidaceae",""
902,"Hemidictyaceae","Christenh. & H. Schneider. 2011"
903,"Hemionitidaceae",""
904,"Henriqueziaceae",""
905,"Henslowiaceae",""
906,"Hermanniaceae",""
907,"Herniariaceae",""
908,"Hesperocallidaceae",""
909,"Heterantheraceae",""
910,"Heteropyxidaceae",""
911,"Hibbertiaceae",""
912,"Hibiscaceae",""
913,"Hilleriaceae",""
914,"Hippocrateaceae",""
915,"Hippomanaceae",""
916,"Hirtellaceae",""
917,"Holacanthaceae",""
918,"Homaliaceae",""
919,"Hopkinsiaceae",""
920,"Hordeaceae",""
921,"Hornschuchiaceae",""
922,"Hortoniaceae",""
923,"Tapisciaceae","Takhtajan"
924,"Huerteaceae",""
925,"Hugoniaceae",""
926,"Humbertiaceae",""
927,"Hydrastidaceae",""
928,"Hydrocotylaceae",""
929,"Hydroleaceae","R.Br. ex Edwards"
930,"Hydropeltidaceae",""
931,"Hymenocardiaceae",""
932,"Hypecoaceae",""
933,"Hyperantheraceae",""
934,"Hypodematiaceae","Ching"
935,"Hypolepidaceae",""
936,"Hypopityaceae",""
937,"Hypseocharitaceae",""
938,"Ilicaceae",""
939,"Illigeraceae",""
940,"Impatientaceae",""
941,"Inocarpaceae",""
942,"Inulaceae",""
943,"Iodaceae",""
944,"Iriarteaceae",""
945,"Isophysidaceae",""
946,"Iteaceae","J. Agardh"
947,"Ixerbaceae",""
948,"Ixiaceae",""
949,"Petrosaviaceae","Hutch."
950,"Japonoliriaceae",""
951,"Jasionaceae",""
952,"Jasminaceae",""
953,"Johnsoniaceae",""
954,"Julianiaceae",""
955,"Juniperaceae",""
956,"Jussiaeaceae",""
957,"Justiciaceae",""
958,"Kaliphoraceae",""
959,"Kalmiaceae",""
960,"Kaniaceae",""
961,"Kiggelariaceae",""
962,"Kingdoniaceae",""
963,"Kingiaceae",""
964,"Kirengeshomaceae",""
965,"Kirkiaceae","Takht."
966,"Kobresiaceae",""
967,"Koeberliniaceae","Engl."
968,"Koelreuteriaceae",""
969,"Labiatae",""
970,"Lacandoniaceae",""
971,"Lachenaliaceae",""
972,"Lactucaceae",""
973,"Lagerstroemiaceae",""
974,"Langsdorffiaceae",""
975,"Lapageriaceae",""
976,"Lasiopetalaceae",""
977,"Lawsoniaceae",""
978,"Laxmanniaceae",""
979,"Ledaceae",""
980,"Vivianiaceae","Klotzsch"
981,"Ledocarpaceae",""
982,"Legnotidaceae",""
983,"Leguminosae",""
984,"Leoniaceae",""
985,"Leonticaceae",""
986,"Lepidariaceae",""
987,"Lepidocarpaceae",""
988,"Lepidocaryaceae",""
989,"Lepidocerataceae",""
990,"Leptaulaceae",""
991,"Leptospermaceae",""
992,"Lepturaceae",""
993,"Lepuropetalaceae",""
994,"Leuchtenbergiaceae",""
995,"Leucojaceae",""
996,"Lewisiaceae",""
997,"Limeaceae","Reveal"
998,"Limodoraceae",""
999,"Limoniaceae",""
1000,"Limosellaceae",""
1001,"Linderniaceae","Borsch, K.Müll.bis, & Eb.Fisch."
1002,"Lindleyaceae",""
1003,"Lindsaeaceae",""
1004,"Linnaeaceae",""
1005,"Lippayaceae",""
1006,"Liriodendraceae",""
1007,"Littorellaceae",""
1008,"Lobeliaceae",""
1009,"Lonchitidaceae","Doweld 2006"
1010,"Loniceraceae",""
1011,"Lophiocarpaceae","Doweld & Reveal"
1012,"Lophiraceae",""
1013,"Lophophytaceae",""
1014,"Lophosoriaceae",""
1015,"Loxogrammaceae",""
1016,"Luxemburgiaceae",""
1017,"Luzuriagaceae",""
1018,"Lyginiaceae",""
1019,"Lygodiaceae","C.Presl"
1020,"Lygodisodeaceae",""
1021,"Lysimachiaceae",""
1022,"Macarisiaceae",""
1023,"Maesaceae",""
1024,"Malaceae",""
1025,"Malortieaceae",""
1026,"Manicariaceae",""
1027,"Marathraceae",""
1028,"Martyniaceae","Horan."
1029,"Mastixiaceae",""
1030,"Maundiaceae",""
1031,"Mazaceae",""
1032,"Medeolaceae",""
1033,"Melampyraceae",""
1034,"Melochiaceae",""
1035,"Memecylaceae",""
1036,"Mendonciaceae",""
1037,"Menthaceae",""
1038,"Menziesiaceae",""
1039,"Mesembryanthemaceae",""
1040,"Metasequoiaceae",""
1041,"Metteniusaceae","H.Karst. ex Schnizl."
1042,"Meyeniaceae",""
1043,"Micrantheaceae",""
1044,"Microbiotaceae",""
1045,"Microcycadaceae",""
1046,"Microteaceae",""
1047,"Miliaceae",""
1048,"Milulaceae",""
1049,"Mimosaceae",""
1050,"Mirabilidaceae",""
1051,"Mitrastemonaceae","Makino"
1053,"Miyoshiaceae",""
1054,"Modeccaceae",""
1055,"Mohriaceae",""
1056,"Monachosoraceae",""
1057,"Monodoraceae",""
1058,"Monotaceae",""
1059,"Monotropaceae",""
1060,"Mouririaceae",""
1061,"Moutabeaceae",""
1062,"Muntingiaceae","C.Bayer, M.W.Chase & M.F.Fay"
1063,"Mutisiaceae",""
1064,"Myodocarpaceae","Doweld"
1065,"Myriophyllaceae",""
1066,"Myrobalanaceae",""
1067,"Myrrhiniaceae",""
1068,"Mystropetalaceae",""
1069,"Najadaceae",""
1070,"Nandinaceae",""
1071,"Nanodeaceae",""
1072,"Napoleonaeaceae",""
1073,"Narcissaceae",""
1074,"Nartheciaceae","Fr. ex Bjurzon"
1075,"Naucleaceae",""
1076,"Nectaropetalaceae",""
1077,"Nectriaceae","Tul. & C.Tul. (1844)"
1078,"Negripteridaceae",""
1079,"Neilliaceae",""
1080,"Nelsoniaceae",""
1081,"Nemacladaceae",""
1082,"Nepetaceae",""
1083,"Nephrolepidaceae",""
1084,"Neumanniaceae",""
1085,"Neuwiediaceae",""
1086,"Nigellaceae",""
1087,"Nitrariaceae","Lindl."
1088,"Nolanaceae",""
1089,"Nolinaceae",""
1090,"Nothofagaceae","Kuprian."
1091,"Nupharaceae",""
1092,"Nuytsiaceae",""
1093,"Nyctanthaceae",""
1094,"Nypaceae",""
1095,"Nyssaceae",""
1096,"Ochranthaceae",""
1097,"Octoknemaceae","Soler."
1098,"Oenotheraceae",""
1099,"Oftiaceae",""
1100,"Onocleaceae",""
1101,"Onosmaceae",""
1102,"Operculariaceae",""
1103,"Ophiopogonaceae",""
1105,"Ophiraceae",""
1106,"Ophiuraceae",""
1107,"Oporanthaceae",""
1108,"Opuntiaceae",""
1109,"Orchidanthaceae",""
1110,"Ornithogalaceae",""
1111,"Orontiaceae",""
1112,"Oryzaceae",""
1113,"Osyridaceae",""
1114,"Oxystylidaceae",""
1115,"Pachysandraceae",""
1116,"Paivaeusaceae",""
1117,"Paletuvieraceae",""
1118,"Palmae",""
1119,"Pancratiaceae",""
1120,"Pangiaceae",""
1121,"Panicaceae",""
1122,"Papilionaceae",""
1123,"Pappophoraceae",""
1124,"Parianaceae",""
1125,"Paridaceae",""
1126,"Paronychiaceae",""
1127,"Paropsiaceae",""
1128,"Parrotiaceae",""
1129,"Partheniaceae",""
1130,"Paspalaceae",""
1131,"Paulliniaceae",""
1132,"Paulowniaceae","Nakai"
1133,"Paviaceae",""
1134,"Pedicularidaceae",""
1135,"Peganaceae",""
1136,"Pennantiaceae","J.Agardh"
1137,"Pentadiplandraceae","Hutch. & Dalziel"
1138,"Pentapetaceae",""
1139,"Pentastemonaceae",""
1140,"Peperomiaceae",""
1141,"Peraceae",""
1142,"Peranemataceae",""
1143,"Perdiciaceae",""
1144,"Periplocaceae",""
1145,"Peripterygiaceae",""
1146,"Perseaceae",""
1147,"Persicariaceae",""
1148,"Petenaeaceae","Christenh., M.F.Fay & M.W.Chase"
1149,"Petiveriaceae",""
1150,"Petreaceae",""
1151,"Phalaridaceae",""
1152,"Phaleriaceae",""
1153,"Pharaceae",""
1154,"Phaseolaceae",""
1155,"Phelypaeaceae",""
1156,"Philadelphaceae",""
1157,"Philippodendraceae",""
1158,"Philocrenaceae",""
1159,"Phoenicaceae",""
1160,"Phylicaceae",""
1161,"Phyllonomaceae","Small"
1162,"Phytelephantaceae",""
1163,"Phytocrenaceae",""
1164,"Picramniaceae","Fernando & Quinn"
1165,"Pilocarpaceae","Zahlbr. (1905)"
1166,"Pinguiculaceae",""
1167,"Pisoniaceae",""
1168,"Pistaciaceae",""
1169,"Pistiaceae",""
1170,"Plagianthaceae",""
1171,"Platycaryaceae",""
1172,"Platyceriaceae",""
1173,"Platyspermatiaceae",""
1174,"Platystemonaceae",""
1175,"Pleurisanthaceae",""
1176,"Pleurosoriopsidaceae",""
1177,"Plocospermataceae","Hutch."
1178,"Plumeriaceae",""
1179,"Podophyllaceae",""
1180,"Polpodaceae",""
1181,"Polygonanthaceae",""
1182,"Polygonataceae",""
1183,"Polyosmaceae",""
1184,"Poranaceae",""
1185,"Porantheraceae",""
1187,"Potaliaceae",""
1188,"Potentillaceae",""
1189,"Pottingeriaceae",""
1190,"Prioniaceae",""
1191,"Prionotaceae",""
1192,"Prockiaceae",""
1193,"Protoliriaceae",""
1194,"Prunaceae",""
1195,"Pseudanthaceae",""
1196,"Pseudophoenicaceae",""
1197,"Psiloxylaceae",""
1198,"Psittacanthaceae",""
1199,"Psylliaceae",""
1200,"Pteleaceae",""
1201,"Pteridiaceae",""
1202,"Pteridophyllaceae",""
1203,"Pterisanthaceae",""
1204,"Pterocaryaceae",""
1205,"Punicaceae",""
1206,"Putranjivaceae","Endl."
1207,"Pyrolaceae",""
1208,"Quercaceae",""
1209,"Quillajaceae",""
1210,"Quintiniaceae",""
1211,"Ramondaceae",""
1212,"Ranzaniaceae",""
1213,"Raphanaceae",""
1214,"Razoumofskyaceae",""
1215,"Reaumuriaceae",""
1216,"Rhachidosoraceae","X.C.Zhang 2011"
1217,"Rhaptopetalaceae",""
1218,"Rhinanthaceae",""
1219,"Rhododendraceae",""
1220,"Rhodolaenaceae",""
1221,"Rhodoleiaceae",""
1222,"Rhodoraceae",""
1223,"Rhodotypaceae",""
1224,"Rhopalocarpaceae",""
1225,"Rhynchothecaceae",""
1226,"Ribesiaceae",""
1227,"Ricinocarpaceae",""
1228,"Ripogonaceae","Conran & Clifford"
1229,"Rivinaceae",""
1230,"Roxburghiaceae",""
1231,"Rumicaceae",""
1232,"Ruppiaceae","Horan."
1233,"Sabalaceae",""
1234,"Saccolomataceae","Doweld & Reveal 2008"
1235,"Sagaceae",""
1236,"Salazariaceae",""
1237,"Salicorniaceae",""
1238,"Salpiglossidaceae",""
1239,"Salsolaceae",""
1240,"Sambucaceae",""
1241,"Samolaceae",""
1242,"Samydaceae",""
1243,"Sanguisorbaceae",""
1244,"Saniculaceae",""
1245,"Sansevieriaceae",""
1246,"Sarcobataceae","Behnke"
1247,"Sarcophytaceae",""
1248,"Sarcospermataceae",""
1249,"Sarcostigmataceae",""
1250,"Saurauiaceae",""
1251,"Sauvagesiaceae",""
1252,"Scabiosaceae",""
1253,"Scaevolaceae",""
1254,"Scepaceae",""
1255,"Schizolaenaceae",""
1256,"Schlegeliaceae","(A.H.Gentry) James L. Reveal"
1257,"Schoepfiaceae",""
1258,"Sciadopityaceae","Luerss."
1259,"Scillaceae",""
1260,"Scleranthaceae",""
1261,"Sclerophylacaceae",""
1262,"Scoliopaceae",""
1263,"Scorodocarpaceae",""
1264,"Scutellariaceae",""
1266,"Sedaceae",""
1267,"Selaginaceae",""
1268,"Sempervivaceae",""
1269,"Senecionaceae",""
1270,"Sesamaceae",""
1271,"Sesuviaceae",""
1272,"Setchellanthaceae","Iltis"
1273,"Sibthorpiaceae",""
1274,"Silenaceae",""
1275,"Simabaceae",""
1276,"Sinopteridaceae",""
1277,"Siparunaceae","(A.DC.) Schodde (1970)"
1278,"Siphonandraceae",""
1279,"Siphonodontaceae",""
1280,"Sladeniaceae","(Gilg. and Werderm.) Airy Shaw"
1281,"Sonneratiaceae",""
1282,"Soulameaceae",""
1283,"Sparganiaceae",""
1284,"Sparmanniaceae",""
1285,"Spergulaceae",""
1286,"Sphenocleaceae","Lindl.) Mart. ex DC."
1287,"Spigeliaceae",""
1288,"Spiraeaceae",""
1289,"Spiroplasmataceae",""
1290,"Spondiadaceae",""
1291,"Sporobolaceae",""
1292,"Stanleyaceae",""
1293,"Stapeliaceae",""
1294,"Staticaceae",""
1295,"Stellariaceae",""
1296,"Stemonuraceae","Kårehed"
1297,"Stenochlaenaceae",""
1298,"Stenomeridaceae",""
1299,"Stilaginaceae",""
1300,"Stipaceae",""
1301,"Stixaceae",""
1302,"Stratiotaceae",""
1303,"Strephonemataceae",""
1304,"Streptochaetaceae",""
1305,"Strombosiaceae",""
1306,"Strumariaceae",""
1307,"Strychnaceae",""
1308,"Stylocerataceae",""
1309,"Stypheliaceae",""
1310,"Swartziaceae",""
1311,"Symphoremataceae",""
1312,"Synechanthaceae",""
1313,"Syringaceae",""
1314,"Taenitidaceae",""
1315,"Taiwaniaceae",""
1316,"Takhtajaniaceae",""
1317,"Talinaceae","(Fenzl) Doweld"
1318,"Tamaceae",""
1319,"Tectariaceae","Panigrahi"
1320,"Telephiaceae",""
1321,"Terminaliaceae",""
1322,"Ternstroemiaceae",""
1323,"Tetracarpaeaceae","Nakai"
1324,"Tetraclinaceae",""
1325,"Tetradiclidaceae",""
1326,"Tetragoniaceae",""
1327,"Tetramelaceae",""
1328,"Tetrastylidiaceae",""
1329,"Tetrathecaceae",""
1330,"Thalassiaceae",""
1331,"Thalictraceae",""
1332,"Themidaceae",""
1333,"Theobromataceae",""
1334,"Thesiaceae",""
1335,"Thismiaceae","J.Agardh"
1336,"Thlaspiaceae",""
1337,"Thoaceae",""
1338,"Thomandersiaceae","Sreem."
1339,"Thunbergiaceae",""
1340,"Thyrsopteridaceae",""
1341,"Tillandsiaceae",""
1342,"Tithymalaceae",""
1343,"Tmesipteridaceae",""
1344,"Tofieldiaceae","Takht."
1345,"Torreyaceae",""
1346,"Tradescantiaceae",""
1347,"Trapellaceae",""
1348,"Treubaniaceae",""
1349,"Treviaceae",""
1350,"Tribelaceae",""
1351,"Tribulaceae",""
1352,"Trichomanaceae",""
1353,"Tricyrtidaceae",""
1354,"Triglochinaceae",""
1355,"Triphyophyllaceae",""
1356,"Tristichaceae",""
1357,"Triticaceae",""
1358,"Tulbaghiaceae",""
1359,"Tulipaceae",""
1360,"Tumboaceae",""
1361,"Uapacaceae",""
1362,"Ullucaceae",""
1363,"Ulmariaceae",""
1364,"Umbelliferae",""
1369,"Utriculariaceae",""
1370,"Uvulariaceae",""
1371,"Vacciniaceae",""
1372,"Vallisneriaceae",""
1373,"Vanillaceae",""
1374,"Veratraceae",""
1375,"Verbascaceae",""
1376,"Vernoniaceae",""
1377,"Veronicaceae",""
1378,"Viburnaceae",""
1379,"Viciaceae",""
1380,"Vincaceae",""
1381,"Viticaceae",""
1382,"Wachendorfiaceae",""
1383,"Wallaceaceae",""
1384,"Walleriaceae",""
1385,"Wellingtoniaceae",""
1386,"Wellstediaceae",""
1387,"Willughbeiaceae",""
1388,"Wolffiaceae",""
1389,"Xanthophyllaceae",""
1390,"Xeronemataceae","M.W.Chase, Rudall & M.F.Fay"
1391,"Xerophyllaceae",""
1392,"Ximeniaceae",""
1393,"Xiphidiaceae",""
1394,"Yuccaceae",""
1395,"Zanoniaceae",""
1396,"Zanthoxylaceae",""
1397,"Zephyranthaceae",""
1398,"Ziziphaceae",""
1399,"Zoysiaceae",""
